"id_accidente","tipo_vehiculo_limpio"
349,"AUTOMOVIL"
350,"CAMIONETA CARGA"
351,"CAMIONETA_PASAJEROS"
351,"MOTOCICLETA"
352,"CAMIONETA_CARGA"
352,"AUTOMOVIL"
353,"AUTOMOVIL"
354,"MOTOCICLETA"
354,"AUTOMOVIL"
355,"CAMION_PASAJEROS"
355,"AUTOMOVIL"
356,"CAMIONETA CARGA"
357,"AUTOMOVIL"
358,"MOTOCICLETA"
358,"AUTOMOVIL"
359,"AUTOMOVIL"
360,"AUTOMOVIL"
361,"AUTOMOVIL"
361,"CAMIONETA_CARGA"
362,"AUTOMOVIL"
363,"AUTOMOVIL"
364,"CAMION_PASAJEROS"
364,"AUTOMOVIL"
365,"CAMIONETA_PASAJEROS"
365,"AUTOMOVIL"
366,"CAMION_PASAJEROS"
366,"AUTOMOVIL"
367,"CAMIONETA CARGA"
368,"CAMIONETA_CARGA"
368,"AUTOMOVIL"
369,"AUTOMOVIL"
370,"OTRO"
371,"SIN_DATOS"
372,"TRACTOR"
372,"AUTOMOVIL"
373,"SIN_DATOS"
374,"CAMION_PASAJEROS"
374,"AUTOMOVIL"
375,"AUTOMOVIL"
375,"CAMIONETA_PASAJEROS"
376,"CAMION_PASAJEROS"
376,"AUTOMOVIL"
377,"CAMIONETA_PASAJEROS"
377,"AUTOMOVIL"
378,"CAMION_CARGA"
378,"AUTOMOVIL"
379,"TRACTOR"
379,"AUTOMOVIL"
380,"MOTOCICLETA"
381,"CAMION_PASAJEROS"
381,"AUTOMOVIL"
382,"AUTOMOVIL"
382,"CAMION_CARGA"
383,"CAMIONETA_PASAJEROS"
383,"AUTOMOVIL"
384,"MOTOCICLETA"
385,"AUTOMOVIL"
386,"OTRO"
386,"AUTOMOVIL"
387,"CAMION_CARGA"
388,"AUTOMOVIL"
389,"AUTOMOVIL"
389,"OTRO"
390,"CAMIONETA CARGA"
390,"AUTOMOVIL"
391,"AUTOMOVIL"
392,"CAMIONETA_CARGA"
393,"OTRO"
393,"AUTOMOVIL"
394,"OTRO"
394,"AUTOMOVIL"
395,"MOTOCICLETA"
396,"AUTOMOVIL"
396,"CAMIONETA CARGA"
397,"CAMIONETA_PASAJEROS"
397,"OTRO"
398,"AUTOMOVIL"
398,"MOTOCICLETA"
399,"OTRO"
399,"CAMIONETA_PASAJEROS"
400,"CAMION_CARGA"
400,"CAMIONETA CARGA"
401,"CAMIONETA_CARGA"
401,"AUTOMOVIL"
402,"AUTOMOVIL"
402,"OTRO"
403,"CAMION_CARGA"
403,"AUTOMOVIL"
404,"CAMIONETA_CARGA"
404,"OTRO"
405,"AUTOMOVIL"
406,"AUTOMOVIL"
407,"CAMION_PASAJEROS"
407,"SIN_DATOS"
408,"AUTOMOVIL"
409,"AUTOMOVIL"
410,"OTRO"
410,"SIN_DATOS"
411,"AUTOMOVIL"
412,"OTRO"
413,"CAMION_CARGA"
413,"AUTOMOVIL"
414,"AUTOMOVIL"
414,"CAMIONETA CARGA"
415,"AUTOMOVIL"
416,"AUTOMOVIL"
416,"MOTOCICLETA"
417,"MOTOCICLETA"
417,"AUTOMOVIL"
418,"CAMION_PASAJEROS"
418,"AUTOMOVIL"
419,"MOTOCICLETA"
419,"AUTOMOVIL"
420,"AUTOMOVIL"
421,"MOTOCICLETA"
421,"CAMIONETA CARGA"
421,"AUTOMOVIL"
422,"AUTOMOVIL"
423,"AUTOMOVIL"
424,"CAMION_CARGA"
424,"CAMIONETA_PASAJEROS"
425,"CAMION_CARGA"
425,"AUTOMOVIL"
426,"CAMION_CARGA"
426,"AUTOMOVIL"
427,"TRACTOR"
427,"AUTOMOVIL"
428,"CAMIONETA_PASAJEROS"
428,"AUTOMOVIL"
429,"AUTOMOVIL"
430,"AUTOMOVIL"
431,"AUTOMOVIL"
432,"AUTOMOVIL"
433,"AUTOMOVIL"
434,"AUTOMOVIL"
435,"AUTOMOVIL"
436,"CAMIONETA_CARGA"
436,"OTRO"
436,"AUTOMOVIL"
437,"MOTOCICLETA"
438,"CAMIONETA_CARGA"
439,"CAMIONETA CARGA"
439,"AUTOMOVIL"
440,"SIN_DATOS"
441,"AUTOMOVIL"
442,"CAMIONETA CARGA"
443,"CAMIONETA_PASAJEROS"
443,"SIN_DATOS"
444,"AUTOMOVIL"
445,"CAMIONETA_PASAJEROS"
445,"AUTOMOVIL"
446,"AUTOMOVIL"
447,"MOTOCICLETA"
447,"AUTOMOVIL"
448,"MOTOCICLETA"
448,"AUTOMOVIL"
449,"SIN_DATOS"
449,"AUTOMOVIL"
450,"AUTOMOVIL"
451,"CAMIONETA CARGA"
451,"AUTOMOVIL"
452,"SIN_DATOS"
453,"AUTOMOVIL"
454,"AUTOMOVIL"
455,"CAMIONETA_CARGA"
455,"AUTOMOVIL"
456,"AUTOMOVIL"
457,"CAMIONETA CARGA"
458,"AUTOMOVIL"
459,"CAMION_CARGA"
459,"AUTOMOVIL"
460,"CAMIONETA CARGA"
460,"AUTOMOVIL"
461,"CAMION_PASAJEROS"
461,"CAMIONETA_PASAJEROS"
462,"AUTOMOVIL"
463,"AUTOMOVIL"
463,"CAMIONETA_PASAJEROS"
464,"AUTOMOVIL"
464,"CAMIONETA_PASAJEROS"
465,"CAMION_CARGA"
465,"AUTOMOVIL"
466,"AUTOMOVIL"
467,"CAMION_CARGA"
467,"AUTOMOVIL"
468,"CAMION_CARGA"
468,"AUTOMOVIL"
469,"CAMIONETA CARGA"
469,"OTRO"
469,"AUTOMOVIL"
470,"AUTOMOVIL"
471,"AUTOMOVIL"
472,"CAMIONETA_CARGA"
473,"AUTOMOVIL"
473,"OTRO"
474,"CAMION_CARGA"
475,"CAMION_CARGA"
475,"OTRO"
476,"AUTOMOVIL"
476,"CAMIONETA_PASAJEROS"
477,"AUTOMOVIL"
478,"MOTOCICLETA"
478,"AUTOMOVIL"
479,"OTRO"
479,"CAMIONETA_CARGA"
480,"AUTOMOVIL"
481,"AUTOMOVIL"
481,"OTRO"
482,"MOTOCICLETA"
482,"AUTOMOVIL"
483,"CAMIONETA_CARGA"
483,"SIN_DATOS"
484,"AUTOMOVIL"
484,"CAMIONETA_PASAJEROS"
485,"AUTOMOVIL"
485,"OTRO"
486,"CAMIONETA_CARGA"
487,"AUTOMOVIL"
488,"SIN_DATOS"
489,"AUTOMOVIL"
489,"CAMIONETA_PASAJEROS"
490,"CAMION_PASAJEROS"
490,"CAMIONETA_PASAJEROS"
491,"OTRO"
491,"AUTOMOVIL"
492,"CAMIONETA_PASAJEROS"
492,"AUTOMOVIL"
493,"AUTOMOVIL"
493,"CAMIONETA_CARGA"
494,"AUTOMOVIL"
495,"AUTOMOVIL"
496,"OTRO"
496,"AUTOMOVIL"
497,"SIN_DATOS"
498,"CAMION_CARGA"
498,"SIN_DATOS"
499,"OTRO"
500,"CAMION_CARGA"
501,"AUTOMOVIL"
501,"CAMIONETA_PASAJEROS"
502,"OTRO"
503,"AUTOMOVIL"
504,"CAMION_CARGA"
504,"CAMIONETA_PASAJEROS"
505,"AUTOMOVIL"
505,"TRACTOR"
505,"OTRO"
505,"MOTOCICLETA"
506,"CAMIONETA_CARGA"
506,"AUTOMOVIL"
507,"CAMIONETA_CARGA"
507,"AUTOMOVIL"
508,"CAMION_CARGA"
508,"AUTOMOVIL"
509,"CAMION_CARGA"
509,"AUTOMOVIL"
509,"MOTOCICLETA"
510,"CAMIONETA CARGA"
510,"AUTOMOVIL"
510,"TRACTOR"
511,"OTRO"
512,"AUTOMOVIL"
513,"MOTOCICLETA"
514,"CAMION_CARGA"
514,"OTRO"
515,"CAMIONETA_PASAJEROS"
515,"AUTOMOVIL"
516,"CAMIONETA CARGA"
516,"AUTOMOVIL"
517,"CAMIONETA CARGA"
517,"AUTOMOVIL"
518,"CAMIONETA_PASAJEROS"
518,"AUTOMOVIL"
519,"CAMION_PASAJEROS"
519,"CAMIONETA_CARGA"
520,"CAMIONETA_PASAJEROS"
520,"AUTOMOVIL"
521,"AUTOMOVIL"
521,"MOTOCICLETA"
522,"AUTOMOVIL"
522,"CAMIONETA_CARGA"
523,"AUTOMOVIL"
524,"AUTOMOVIL"
524,"CAMIONETA_PASAJEROS"
525,"CAMION_PASAJEROS"
525,"AUTOMOVIL"
526,"AUTOMOVIL"
527,"CAMIONETA CARGA"
527,"AUTOMOVIL"
528,"AUTOMOVIL"
529,"MOTOCICLETA"
529,"AUTOMOVIL"
530,"CAMION_CARGA"
530,"AUTOMOVIL"
531,"AUTOMOVIL"
532,"AUTOMOVIL"
533,"AUTOMOVIL"
534,"CAMIONETA CARGA"
534,"AUTOMOVIL"
535,"AUTOMOVIL"
536,"OTRO"
536,"CAMIONETA CARGA"
537,"AUTOMOVIL"
537,"SIN_DATOS"
538,"AUTOMOVIL"
539,"AUTOMOVIL"
539,"CAMIONETA_CARGA"
540,"AUTOMOVIL"
541,"AUTOMOVIL"
542,"CAMION_PASAJEROS"
542,"AUTOMOVIL"
543,"CAMIONETA CARGA"
544,"AUTOMOVIL"
544,"CAMIONETA CARGA"
545,"MOTOCICLETA"
545,"AUTOMOVIL"
546,"CAMIONETA_PASAJEROS"
547,"CAMIONETA CARGA"
548,"AUTOMOVIL"
548,"CAMIONETA CARGA"
549,"AUTOMOVIL"
550,"SIN_DATOS"
550,"CAMIONETA_PASAJEROS"
551,"AUTOMOVIL"
552,"AUTOMOVIL"
553,"CAMIONETA CARGA"
553,"AUTOMOVIL"
554,"AUTOMOVIL"
555,"CAMIONETA_CARGA"
555,"CAMION_PASAJEROS"
556,"AUTOMOVIL"
557,"CAMIONETA CARGA"
557,"AUTOMOVIL"
558,"CAMIONETA CARGA"
558,"AUTOMOVIL"
559,"MOTOCICLETA"
560,"CAMIONETA_CARGA"
560,"AUTOMOVIL"
561,"AUTOMOVIL"
562,"AUTOMOVIL"
562,"CAMION_CARGA"
563,"AUTOMOVIL"
564,"AUTOMOVIL"
565,"CAMION_CARGA"
565,"AUTOMOVIL"
566,"AUTOMOVIL"
567,"CAMION_CARGA"
567,"AUTOMOVIL"
568,"CAMIONETA_CARGA"
569,"AUTOMOVIL"
570,"AUTOMOVIL"
570,"CAMIONETA_PASAJEROS"
571,"OTRO"
572,"AUTOMOVIL"
572,"CAMIONETA_CARGA"
573,"CAMION_CARGA"
573,"CAMIONETA_CARGA"
574,"CAMIONETA CARGA"
575,"CAMIONETA_CARGA"
575,"AUTOMOVIL"
576,"CAMION_CARGA"
576,"CAMIONETA_PASAJEROS"
576,"AUTOMOVIL"
577,"MOTOCICLETA"
578,"AUTOMOVIL"
579,"CAMIONETA_PASAJEROS"
579,"AUTOMOVIL"
580,"CAMION_CARGA"
580,"CAMIONETA_CARGA"
581,"CAMION_CARGA"
581,"AUTOMOVIL"
582,"AUTOMOVIL"
582,"OTRO"
583,"MOTOCICLETA"
584,"AUTOMOVIL"
585,"CAMIONETA CARGA"
585,"AUTOMOVIL"
586,"CAMION_CARGA"
586,"AUTOMOVIL"
587,"AUTOMOVIL"
588,"AUTOMOVIL"
589,"SIN_DATOS"
590,"SIN_DATOS"
591,"CAMIONETA CARGA"
592,"CAMIONETA_CARGA"
592,"AUTOMOVIL"
592,"CAMION_CARGA"
593,"AUTOMOVIL"
594,"AUTOMOVIL"
595,"CAMION_PASAJEROS"
595,"AUTOMOVIL"
596,"AUTOMOVIL"
596,"CAMIONETA_PASAJEROS"
597,"CAMION_CARGA"
597,"AUTOMOVIL"
598,"CAMIONETA CARGA"
598,"AUTOMOVIL"
599,"AUTOMOVIL"
600,"CAMIONETA_PASAJEROS"
600,"AUTOMOVIL"
601,"AUTOMOVIL"
601,"CAMIONETA_PASAJEROS"
602,"AUTOMOVIL"
602,"CAMIONETA CARGA"
603,"CAMIONETA_CARGA"
603,"AUTOMOVIL"
604,"AUTOMOVIL"
604,"CAMIONETA CARGA"
605,"CAMIONETA_CARGA"
605,"SIN_DATOS"
606,"CAMIONETA_CARGA"
607,"CAMIONETA_PASAJEROS"
607,"AUTOMOVIL"
608,"OTRO"
609,"AUTOMOVIL"
